2.00 0.6 10 1500 2
2.00 0.8 10 1500 2
2.00 0.6 2.5 1500 2
2.00 0.8 2.5 1500 2
2.00 0.6 3.0 1500 2
2.00 0.8 3.0 1500 2
2.00 0.6 3.5 1500 2
2.00 0.8 3.5 1500 2
2.00 0.6 4.0 1500 2
2.00 0.8 4.0 1500 2
2.00 0.6 4.5 1500 2
2.00 0.8 4.5 1500 2
2.00 0.6 5.0 1500 2
2.00 0.8 5.0 1500 2
2.00 0.6 5.5 1500 2
2.00 0.8 5.5 1500 2
2.00 0.6 6.0 1500 2
2.00 0.8 6.0 1500 2
2.00 0.6 6.5 1500 2
2.00 0.8 6.5 1500 2
2.00 0.6 7.0 1500 2
2.00 0.8 7.0 1500 2
2.00 0.6 7.5 1500 2
2.00 0.8 7.5 1500 2
2.00 0.6 8.0 1500 2
2.00 0.8 8.0 1500 2
2.00 0.6 8.5 1500 2
2.00 0.8 8.5 1500 2
2.00 0.6 9.0 1500 2
2.00 0.8 9.0 1500 2
2.00 0.6 9.5 1500 2
2.00 0.8 9.5 1500 2
2.00 0.6 10.0 1500 2
2.00 0.8 10.0 1500 2
2.00 0.6 2.5 1500 2
2.00 0.8 2.5 1500 2
2.00 0.6 3.0 1500 2
2.00 0.8 3.0 1500 2
2.00 0.6 3.5 1500 2
2.00 0.8 3.5 1500 2
2.00 0.6 4.0 1500 2
2.00 0.8 4.0 1500 2
2.00 0.6 4.5 1500 2
2.00 0.8 4.5 1500 2
2.00 0.6 5.0 1500 2
2.00 0.8 5.0 1500 2
2.00 0.6 5.5 1500 2
2.00 0.8 5.5 1500 2
2.00 0.6 6.0 1500 2
2.00 0.8 6.0 1500 2
2.00 0.6 6.5 1500 2
2.00 0.8 6.5 1500 2
2.00 0.6 7.0 1500 2
2.00 0.8 7.0 1500 2
2.00 0.6 7.5 1500 2
2.00 0.8 7.5 1500 2
2.00 0.6 8.0 1500 2
2.00 0.8 8.0 1500 2
2.00 0.6 8.5 1500 2
2.00 0.8 8.5 1500 2
2.00 0.6 9.0 1500 2
2.00 0.8 9.0 1500 2
2.00 0.6 9.5 1500 2
2.00 0.8 9.5 1500 2
2.00 0.6 10.0 1500 2
2.00 0.8 10.0 1500 2
